id,tweet_id,content,concerns
0,1365819211206057993t,No thanks. Wonder if it will be as good as their cancer causing baby powder? I think I'll wait until a safer vaccine is given approval that uses proven safer techniques likes the covaxin vaccine that is on the way. Thanks but no thanks,none
1,1336397084891652097t,"@DrEricDing This vaccine is a farce, it’s storage requirements are extreme to ensure efficacy without the appropriate infrastructure to distribute and administer it it’s a huge waste of our taxes. At best we can expect less than 50% efficacy from Pfizer’s vaccine-",ineffective 
2,1333458562815844352t,"@StefMylesTennis @disclosetv @CookieFreshPimp @SenMastriano Look at the Pfizer vaccine trial: 44,000 half with, half without vaccine. In the supposed raging pandemic, one would assume that those without the vaccine would get Covid at near epidemic levels: 1700. In reality, the Pfizer total sample [44k] only had 94 positives. Way off.",ineffective 
3,1327908582403280896t,"@DL7010 You obviously do not see it as a problem, fine. Agree to disagree. Do you think you could help research the placebo used in the Pfizer mRNA vaccine, please? That would really help. TIA.",none
4,1374806491065155596t,@Potso_Sego Maybe good news. Just read an article by https://t.co/YnO9CZ31jJ that says top virologist & vaccine maker asks WHO to stop all vacs immediately! Its going to harm our immune system very badly etc,rushed side-effect 
5,1245741803904647169t,"@BudgetBen As long as they're experimenting with and mutating viruses in the name of creating vaccines, there's the potential for one to somehow be released. COVID-19 was likely being worked on at the Wuhan BSL-4 facility, which was specifically set up to research coronaviruses and SARS.",none
6,1375178555496222726t,@Trumpet1984 @TheSWPrincess Not to mention the vaccines aren’t 100% effective and seeing an actual physician who was vaccinated and still got Covid should be enough to continue wearing a mask! Insanity!,ineffective 
7,1364024078127005697t,"@foogatwo Any interesting input on VAERS data yet? The read about fatal outcomes on frail patients is disturbing. Deaths of Elderly Who Recovered From COVID-19, but Died After Vaccine, Raise Questions https://t.co/QDJM9fncpP",side-effect 
8,1328093462437105667t,"@nunyabiz55 Certainly I want a full and proper stage 3 trial, our history with attempts at corona vaccines is not good, our only two attempts killed people in the 60s&70s.",side-effect 
9,1399789795832852481t,"@Neil_B_Night @RaulWolfBruning @sputnikvaccine god know best,, maybe sputnik v hiding info because its also adenovirus vector based vaccine,, jj astrazenca and sputnik v",ingredients 
10,1337522336178851840t,@GovPritzker @US_FDA @pfizer We didn’t vote for the Pharmacidal cartel. No DNA-altering toxic Frankenshots. Violation of Nuremberg Code. No COV-IDs and health ‘passports.’ We do not consent.,side-effect 
11,1360339472299171842t,"@CTVNews What's the current ""dead FROM vaccine"" count?   And remember - you have to count it the same way covid ""deaths"" are counted!",side-effect 
12,1339858771456057345t,@dannyyoung35 @FrankGaudino The health professionals who developed this vaccine work for a company called Pfizer and literally no one knows long term effects of it. If they did you wouldn’t have multiple allergic reactions in US and UK.,side-effect 
13,1369868178927534081t,@geoallen66 @drdavidsamadi I’ll stay in the control group for Covid. We know nothing about the long term effects of Covid or the vaccine-take your pick.,rushed 
14,1433295934952284160t,Data links Moderna vaccine to doubled risk of heart inflammation; feds investigating - WISH-TV | Indianapolis News | Indiana Weather | Indiana Traffic https://t.co/iGQm6yCOTf via @wish_tv,side-effect 
15,1326065238307983361t,"@CNBC All covid vaccines being developed are not intended to prevent infection, transmission, hospitalization, or death. So WTF are we even talking about right now?",side-effect ineffective 
16,1354732605258821634t,"@blinder_the @darrengrimes_ Apart from the fact that those that have already had covid are immune, so won't need the vaccine. The 'vaccine' isn't the only way to immunity, in fact it doesn't even give immunity, it just lessens the symptoms.",unnecessary ineffective 
17,1299206090610016261t,@princesseffel Not a problem with me but I’m pro vax however the vaccine is going to have to be more rigorously tested before I’ll have it,rushed 
18,1376305768916484102t,FYI....there are plenty of people walking around without vaccines for all sorts of contagious diseases/viruses. Why is Covid so different? We must ask why a mandatory vaccine card is even a consideration if the ones who are vaccinated feel that it protects them.,mandatory 
19,1365582394967916547t,"""Will reduce your chance of becoming seriously ill"". HMMM FROM THE REPORT ABOVE ON THE OXFORD VACCINE, SOUNDS MORE LIKE IT WILL MAKE YOU SERIOUSLY ILL!! 🤔 https://t.co/z4X0F2ny9M",side-effect 
20,1298730973748760587t,"@I_like_spaghett @5Agenda21 They are making up health certificates have the unnecessary vaccine- get the diploma, then you will get some freedoms back What a racket, total piss take",unnecessary mandatory 
21,1377324251003420673t,"@Howlitzer Correct :3 So you know that vaccines are not 100% effective. In the unlikely chances a vaccinated individual gets sick, they will not have a severe case, it’ll be mild. You want VL to be low and it’s usually higher in severe cases. Vaccinated individuals would therefore have a",ineffective 
22,1279070685516705793t,"Bombshell as Fauci admits future COVID vaccines won’t work, blames “anti-vaxxers” for failures of Big Pharma - DC Clothesline https://t.co/EiuGPIoibp",pharma 
23,1239970841317658632t,@HighWireTalk The dumb biocidal #Biotech genius's version of #SavingthePlanet. Edit everyone's genes without their full comprehension of the implications. What were the undisclosed viral targets? #mRNA #Genocide #COVID19 #COVID2019 #Vaccine #ModeRNA #DARPA #CRISPR #offTarget #GatesFoundation,conspiracy 
24,1332858597265399808t,@WBrettWilson Pfizer is pretty comfortable too with every one getting a vaccine. This is a business. This is not about health.,none 
25,1350014187339198464t,"Norway: 23 people out of 33 000 died after COVID vaccination: ""results suggesting that common side effects may have contributed to severe reactions"". If this holds true, it means the vaccine has a higher average mortality rate than the actual virus... https://t.co/m0BHgKW76V",side-effect 
26,1362068477952069640t,Whistleblower: 8 of 31 seniors at German nursing home dead within 4 weeks after Pfizer COVID vaccine; all were physically healthy prior to vaccination. https://t.co/3N7Tg4wZAh,side-effect 
27,1340332455300124672t,"99.97% unaffected by corona = Lockdowns, kill businesses, increase death by suicides, homelessness, and starvation. 99.86% unaffected by vaccine = Vaccine is *great*, plus we'll continue to lockdown, kill business, increase suicides, homelessness, and starvation.",unnecessary side-effect 
28,1432414602508201984t,"Pfizer COVID-19 vaccine: New Zealand reports first death linked to shot - New Zealand officials reported the country's first death linked to the Pfizer COVID-19 vaccine on Monday. In a release, the... - https://t.co/hldtenwaKU https://t.co/wMNloUHsau",side-effect 
29,1264158473526185987t,"Robert F. Kennedy, Jr.: Moderna’s “Clinical Trial Results for Its Groundbreaking COVID Vaccine Could Not Be Much Worse” https://t.co/CqafmnzsAq via @grtvnews",rushed 
