content,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
@imaerell @BradfatherSpeak @ALEXNEWMAN_JOU Newsflash no vaccine is safe. You people are quick to spout out that covid has a 99% 'survive' rate yet forego saying the same for people who have vaccines.,1,0,0,0,0,0,0,0,1,0,0,0
"@theousherwood @LBC I’m not anti vaccine, but looking at the company Pfizer producing it, their record hasn’t been too great has it? https://t.co/31JCaIPpwY",0,0,1,0,0,0,0,0,0,0,0,0
@BorisJohnson I won’t be taking any vaccine ever! You get me #controlofdiseaseact1984 Why has it been updated?,0,0,0,0,0,0,0,0,0,0,0,1
"@LPerrins They have set this up that nothing will ever be opened up properly again .....new variants,vaccine doesn't stop spread,keep distance and masks. Places now saying you can't come on site without a test.....this will not end!",0,0,0,0,0,0,0,0,0,1,0,0
"@AngelaDeAngelo I believe I read it on one of Pfizer’s partner sites, they mention that the Pfizer vaccine will take a long time to be effective. How does that make any sense if they didn’t have a long time to test it 😂",0,0,0,0,0,0,1,0,0,0,0,0
@BarackObama I think you and Fauci and Gates need to be vaccinated. And all “your” kids too.,0,0,0,0,1,0,0,0,0,0,0,0
"@degrekt @CryptoMessiah @_krutches Modernas own documentation has infertility, cardiac and more risks listed. I'm not going to go out of MY way to link resources to someone who called me delusional. The thing is, I don't care if you take your vaccine or not. But MOST pro vaccine DO care whether or not I do.",0,0,0,0,0,0,0,0,1,0,0,0
@MAhealthforkids Anecdotal evidence is precisely how you correct errors with collecting statistics which is the only claim I made. I have multiple anecdotal examples of nurses across multiple hospital stating that management coerces them not to report vaccine injuries. They should check this...,0,0,0,0,0,0,0,0,1,0,0,0
UNFORTUNATELY PLANNED PLANDEMIC BY WORLD ECONOMIC FORUM DAVOS ELITES DEPOPULATION PROGRAM AND HUMAN STERILIZATION EXISTS FOR DECADES EUGENICS DO YOUR RESEARCHS TRANSHUMANISM VACCINES BILL GATES WAS IN CANADA LAST WEEK ALL RELATED CANSINO MODERNA GAVI https://t.co/iStzMo78gu,0,0,0,1,0,0,0,0,1,0,0,0
"@JesseKellyDC COVID 19 has already mutated. Dumdums getting this shot might’ve already been exposed to several strains and whatever mutations have occurred, this vaccine will be useless.",0,0,0,0,0,0,0,0,0,1,0,0
"@IngrahamAngle No. I’m a Trump fan but he’s wrong on this one. Pfizer is in with Soros (who took a position there in 2017 But go right ahead, take the vaccine that hasn’t been properly tested. You Turn coat Rs allowed Biden to steal the election.",0,0,0,0,1,0,1,0,0,0,0,0
"I really hope the MHRA force Oxford/AstraZeneca to wait until their new, not botched Stage Three trial is complete before approval. Even then, it’s likely to be so much less effective that standard of care rules would make it not right to roll it out.",0,0,0,0,0,0,1,0,0,1,0,0
Do not believe the so called mutation on #Covid_19 you people must realize they're trying to push their agendas through no better way to do so then to induce fear into humanity. #Covid21 #coronavirus Don't let it distract you from the fact that the vaccine killed a nurse.,0,0,0,0,0,0,0,0,1,0,0,0
@750TheGame @PeterSampson @JudahNewby @johncanzanobft Don’t understand why folks want to attend any sports event at this time. The support staff required for games is enormous. And taking a vaccine developed in 365 days to me is high risk.,0,0,0,0,0,0,0,0,0,1,0,0
"@CaptainMorgans5 I don’t mean 2sound like a conspiracy theorist, but their study design was awful &now it is becoming apparent they are not being truthful about their information. & Slaoui still owns millions in stock in Moderna. He was allowed to keep it bc he said he would work as czar for free",0,0,1,0,0,0,0,0,0,0,0,0
"@KamilKaramali This inspires confidence? COVID vaccine: Pfizer given protection from legal action, hope @GovCanHealth Health Canada acts differently, are hospitals ready for pandemic of side effects?@NDP @CanadianGreens @CPC_HQ @liberal_party @DerekSloanCPC #Genocide https://t.co/ep5BPZOqOk",0,0,0,0,0,0,0,0,1,0,0,0
@kimmagagal2 Stay strong. Don't ever be forced to take something you don't want to. They really need to take a hard look at themselves. 1) the vaccine doesn't stop you from catching CV. 2) BUPA arent covering any liabilities as a result of the vaccine. 3) forced/coercion is illegal.,0,1,0,0,0,0,0,0,0,1,0,0
ofc!! i’m misa amane 😍 anywayz who cares about covid vaccine 🙄 https://t.co/tdD0gptB1F,0,0,0,0,0,0,0,0,0,0,0,1
"@MlXTAETAPE The thing is even with consulting you never know. Many of those who d*ed were completely healthy. The girl, 23, who recently d*ed did get consult and health check beforehand and everything looked fine. After getting vaccine she got brain thrombosis and d*ed.",0,0,0,0,0,0,0,0,1,0,0,0
"211,339 individual reports of Adverse Reactions caused by #AstraZeneca vaccine in UK 3 February to 23 June 2021 - this is the last page of the 116-page weekly report by MHRA. Most patients suffer multiple ill effects. Note 936 Deaths. https://t.co/P61WMiELXL",0,0,0,0,0,0,0,0,1,0,0,0
