content,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none,corrected_text,text_without_stopwords,text_lemmatized,text_without_stopwords_freq
imaerell BradfatherSpeak ALEXNEWMAN JOU Newsflash no vaccine is safe You people are quick to spout out that covid has a 99 survive rate yet forego saying the same for people who have vaccines,1,0,0,0,0,0,0,0,1,0,0,0,imaerell bradfatherspeak alexnewman you newsflash no vaccine is safe you people are quick to spout out that bovid has a 99 survive rate yet forego saying the same for people who have vaccines,imaerell bradfatherspeak alexnewman newsflash vaccine safe people quick spout bovid 99 survive rate yet forego saying people vaccines,imaerell bradfatherspeak alexnewman newsflash vaccine safe people quick spout bovid 99 survive rate yet forego say people vaccine,imaerell bradfatherspeak alexnewman newsflash safe quick spout 99 survive rate yet forego
theousherwood LBC I am not anti vaccine but looking at the company Pfizer producing it their record has not been too great has,0,0,1,0,0,0,0,0,0,0,0,0,theousherwood lac i am not anti vaccine but looking at the company pfizer producing it their record has not been too great has,theousherwood lac anti vaccine looking company pfizer producing record great,theousherwood lac anti vaccine look company pfizer produce record great,theousherwood lac anti look company produce record great
BorisJohnson I will not be taking any vaccine ever You get me controlofdiseaseact1984 Why has it been updated,0,0,0,0,0,0,0,0,0,0,0,1,borisjohnson i will not be taking any vaccine ever you get me controlofdiseaseact1984 why has it been updated,borisjohnson taking vaccine ever get controlofdiseaseact1984 updated,borisjohnson take vaccine ever get controlofdiseaseact1984 update,borisjohnson ever controlofdiseaseact1984 update
LPerrins They have set this up that nothing will ever be opened up properly again new variants vaccine does not stop spread keep distance and masks Places now saying you cannot come on site without a test  this will not end,0,0,0,0,0,0,0,0,0,1,0,0,lperrins they have set this up that nothing will ever be opened up properly again new variants vaccine does not stop spread keep distance and masks places now saying you cannot come on site without a test this will not end,lperrins set nothing ever opened properly new variants vaccine stop spread keep distance masks places saying cannot come site without test end,lperrins set nothing ever open properly new variant vaccine stop spread keep distance mask place say cannot come site without test end,lperrins set nothing ever open properly new variant stop spread keep distance mask place cannot come site without end
AngelaDeAngelo I believe I read it on one of Pfizers partner sites they mention that the Pfizer vaccine will take a long time to be effective How does that make any sense if they did not have a long time to test it face with tears of joy,0,0,0,0,0,0,1,0,0,0,0,0,angeladeangelo i believe i read it on one of pfizers partner sites they mention that the pfizer vaccine will take a long time to be effective how does that make any sense if they did not have a long time to test it face with tears of joy,angeladeangelo believe read one pfizers partner sites mention pfizer vaccine take long time effective make sense long time test face tears joy,angeladeangelo believe read one pfizers partner sit mention pfizer vaccine take long time effective make sense long time test face tear joy,angeladeangelo believe read pfizers partner sit mention long time effective sense long time face tear joy
BarackObama I think you and Fauci and Gates need to be vaccinated And all your kids too,0,0,0,0,1,0,0,0,0,0,0,0,barackobama i think you and farci and gates need to be vaccinated and all your kids too,barackobama think farci gates need vaccinated kids,barackobama think farci gate need vaccinated kid,barackobama think farci gate need vaccinated kid
degrekt CryptoMessiah krutches Modernas own documentation has infertility cardiac and more risks listed I am not going to go out of MY way to link resources to someone who called me delusional The thing is I do not care if you take your vaccine or not But MOST pro vaccine DO care whether or not I do,0,0,0,0,0,0,0,0,1,0,0,0,degrekt cryptomessiah crutches modern's own documentation has infertility cardiac and more risks listed i am not going to go out of my way to link resources to someone who called me delusional the thing is i do not care if you take your vaccine or not but most pro vaccine do care whether or not i do,degrekt cryptomessiah crutches modern's documentation infertility cardiac risks listed going go way link resources someone called delusional thing care take vaccine pro vaccine care whether,degrekt cryptomessiah crutch modern's documentation infertility cardiac risk list go go way link resource someone call delusional thing care take vaccine pro vaccine care whether,degrekt cryptomessiah crutch modern's documentation infertility cardiac risk list way link resource someone call delusional thing care pro care whether
MAhealthforkids Anecdotal evidence is precisely how you correct errors with collecting statistics which is the only claim I made I have multiple anecdotal examples of nurses across multiple hospital stating that management coerces them not to report vaccine injuries They should check this,0,0,0,0,0,0,0,0,1,0,0,0,mahealthforkids anecdotal evidence is precisely how you correct errors with collecting statistics which is the only claim i made i have multiple anecdotal examples of nurses across multiple hospital stating that management coerces them not to report vaccine injuries they should check this,mahealthforkids anecdotal evidence precisely correct errors collecting statistics claim made multiple anecdotal examples nurses across multiple hospital stating management coerces report vaccine injuries check,mahealthforkids anecdotal evidence precisely correct error collect statistic claim make multiple anecdotal example nurse across multiple hospital state management coerces report vaccine injury check,mahealthforkids anecdotal evidence precisely correct error collect statistic claim multiple anecdotal example nurse across multiple hospital state management coerces report injury check
UNFORTUNATELY PLANNED PLANDEMIC BY WORLD ECONOMIC FORUM DAVOS ELITES DEPOPULATION PROGR AND HUMAN STERILIZATION EXISTS FOR DECADES EUGENICS DO YOUR RESEARCHS TRANSHUMANISM VACCINES BILL GATES WAS IN CANADA LAST WEEK ALL RELATED CANSINO MODERNA GAVI,0,0,0,1,0,0,0,0,1,0,0,0,unfortunately planned pandemic by world economic forum dagos elites depopulation progr and human sterilization exists for decades eugenics do your research transhumanism vaccines bill gates was in canada last week all related casino modern gave,unfortunately planned pandemic world economic forum dagos elites depopulation progr human sterilization exists decades eugenics research transhumanism vaccines bill gates canada last week related casino modern gave,unfortunately plan pandemic world economic forum dago elites depopulation progr human sterilization exist decade eugenics research transhumanism vaccine bill gate canada last week relate casino modern give,unfortunately plan pandemic world economic forum dago elites depopulation progr human sterilization exist decade eugenics research transhumanism bill gate canada last week relate casino modern give
JesseKellyDC COVID 19 has already mutated Dumdums getting this shot might have already been exposed to several strains and whatever mutations have occurred this vaccine will be useless,0,0,0,0,0,0,0,0,0,1,0,0,jessekellydc bovid 19 has already mutated dumdums getting this shot might have already been exposed to several strains and whatever mutations have occurred this vaccine will be useless,jessekellydc bovid 19 already mutated dumdums getting shot might already exposed several strains whatever mutations occurred vaccine useless,jessekellydc bovid 19 already mutate dumdum get shot might already expose several strain whatever mutation occur vaccine useless,jessekellydc already mutate dumdum shot might already expose several strain whatever mutation occur useless
